,id,full_name,road_segment_wkt
191,606127541,Northern Mtwy,"LINESTRING(174.74574 -36.77676,174.74547 -36.77633)"
192,606133510,Northern Mtwy,"LINESTRING(174.74641 -36.77811,174.74559 -36.77681)"
193,606162074,Northern Busway,"LINESTRING(174.74789 -36.77992,174.74748 -36.77927,174.74498 -36.77531,174.74455 -36.77455)"
194,606177141,Northern Mtwy,"LINESTRING(174.74773 -36.77991,174.74752 -36.77957,174.74713 -36.77894,174.74678 -36.77839)"
195,606132475,Northern Mtwy,"LINESTRING(174.72586 -36.75069,174.7256 -36.75041,174.7253 -36.75006,174.72504 -36.74974,174.72471 -36.74934,174.72441 -36.74897)"
196,606133072,Entries,"LINESTRING(174.72544 -36.75068,174.72538 -36.7506)"
197,606133073,Entries,"LINESTRING(174.72538 -36.7506,174.72499 -36.75001,174.72478 -36.74971)"
198,606141227,Entries,"LINESTRING(174.72611 -36.75029,174.72583 -36.74999,174.72565 -36.74981)"
199,606141242,Entries,"LINESTRING(174.72605 -36.75142,174.72582 -36.75116)"
200,606141243,Entries,"LINESTRING(174.72582 -36.75116,174.72566 -36.75097)"
201,606147830,Northern Mtwy,"LINESTRING(174.72133 -36.74456,174.72122 -36.74437,174.72105 -36.74407,174.7208 -36.74361,174.72059 -36.74318,174.72044 -36.74285,174.72035 -36.74264,174.72027 -36.74243,174.72015 -36.74209,174.72007 -36.74185,174.71997 -36.74154,174.71988 -36.74122)"
202,606117461,410,"LINESTRING(174.71415 -36.72262,174.71411 -36.72255,174.71406 -36.72246,174.71398 -36.72232,174.71383 -36.72196)"
203,606127604,Northern Mtwy,"LINESTRING(174.71462 -36.724,174.71457 -36.72373,174.71452 -36.7235)"
204,606127605,Northern Mtwy,"LINESTRING(174.71452 -36.7235,174.71444 -36.72314,174.71438 -36.72286,174.71432 -36.72262)"
205,606127606,Northern Mtwy,"LINESTRING(174.71445 -36.72399,174.71439 -36.72369,174.71436 -36.72351)"
206,606127607,Northern Mtwy,"LINESTRING(174.71436 -36.72351,174.71428 -36.72317,174.71422 -36.7229,174.71415 -36.72262)"
207,606133323,Northern Mtwy,"LINESTRING(174.71474 -36.72483,174.71467 -36.72435)"
208,606133324,Northern Mtwy,"LINESTRING(174.71467 -36.72435,174.71466 -36.72426,174.71464 -36.72413,174.71462 -36.724)"
209,606143766,Entries,"LINESTRING(174.71344 -36.71835,174.71339 -36.7181)"
210,606143768,Entries,"LINESTRING(174.71344 -36.71835,174.71348 -36.71823,174.71362 -36.71797)"
211,606143769,Entries,"LINESTRING(174.71332 -36.71801,174.7131 -36.71774)"
212,606143772,Entries,"LINESTRING(174.71354 -36.71788,174.71338 -36.71788,174.71332 -36.71787,174.7131 -36.71774)"
213,606143773,Entries,"LINESTRING(174.71415 -36.72208,174.71397 -36.72096,174.71385 -36.72036)"
214,606143774,Entries,"LINESTRING(174.71385 -36.72036,174.71344 -36.71835)"
215,606143835,Entries,"LINESTRING(174.71218 -36.71868,174.71207 -36.71843)"
216,606143836,Entries,"LINESTRING(174.71191 -36.71883,174.71198 -36.71874,174.71206 -36.71857,174.71207 -36.71843)"
